Nombre,Y_nac,Nacimiento,Y_fac,Fallecimiento,Presidente,y_pres,Expresidente,y_xpres,estatus,Activo
Lázaro Cárdenas del Río,1895,21/05/1895,1970,19/10/1970,30/11/1934,1934,01/12/1940,1940,M,No
Manuel Ávila Camacho,1897,24/04/1897,1955,13/10/1955,30/11/1940,1940,01/12/1946,1946,M,No
Miguel Alemán Valdés,1900,29/09/1900,1983,14/05/1983,30/11/1946,1946,01/12/1952,1952,M,No
Adolfo Ruiz Cortines,1889,30/12/1889,1973,03/12/1973,30/11/1952,1952,01/12/1958,1958,M,No
Adolfo López Mateos,1909,26/05/1909,1969,22/09/1969,30/11/1958,1958,01/12/1964,1964,M,No
Gustavo Díaz Ordaz,1911,12/03/1911,1979,15/07/1979,30/11/1964,1964,01/12/1970,1970,M,No
Luis Echeverría Álvarez,1922,17/01/1922,2022,09/07/2022,30/11/1970,1970,01/12/1976,1976,M,No
José López Portillo y Pacheco,1920,16/06/1920,2004,17/02/2004,30/11/1976,1976,01/12/1982,1982,M,No
Miguel de la Madrid Hurtado,1934,12/12/1934,2012,01/04/2012,30/11/1982,1982,01/12/1988,1988,M,No
Carlos Salinas de Gortari,1948,03/04/1948,2022,09/07/2022,30/11/1988,1988,01/12/1994,1994,V,No
Ernesto Zedillo Ponce de León,1951,27/12/1951,2022,09/07/2022,30/11/1994,1994,01/12/2000,2000,V,No
Vicente Fox Quesada,1942,02/07/1942,2022,09/07/2022,30/11/2000,2000,01/12/2006,2006,V,No
Felipe Calderón Hinojosa,1962,08/08/1962,2022,09/07/2022,30/11/2006,2006,01/12/2012,2012,V,No
Enrique Peña Nieto,1966,20/07/1966,2022,09/07/2022,30/11/2012,2012,01/12/2018,2018,V,No
Andrés Manuel López Obrador,1953,13/11/1953,2022,09/07/2022,30/11/2018,2018,01/12/2024,2024,V,Sí
